FIPS,STATE,COUNTY
01007,Alabama,Bibb
01009,Alabama,Blount
01015,Alabama,Calhoun
01017,Alabama,Chambers
01019,Alabama,Cherokee
01021,Alabama,Chilton
01027,Alabama,Clay
01029,Alabama,Cleburne
01033,Alabama,Colbert
01037,Alabama,Coosa
01043,Alabama,Cullman
01049,Alabama,De Kalb
01051,Alabama,Elmore
01055,Alabama,Etowah
01057,Alabama,Fayette
01059,Alabama,Franklin
01065,Alabama,Hale
01071,Alabama,Jackson
01073,Alabama,Jefferson
01075,Alabama,Lamar
01077,Alabama,Lauderdale
01079,Alabama,Lawrence
01083,Alabama,Limestone
01087,Alabama,Macon
01089,Alabama,Madison
01093,Alabama,Marion
01095,Alabama,Marshall
01103,Alabama,Morgan
01107,Alabama,Pickens
01111,Alabama,Randolph
01115,Alabama,St. Clair
01117,Alabama,Shelby
01121,Alabama,Talladega
01123,Alabama,Tallapoosa
01125,Alabama,Tuscaloosa
01127,Alabama,Walker
01133,Alabama,Winston
13011,Georgia,Banks
13013,Georgia,Barrow
13015,Georgia,Bartow
13045,Georgia,Carroll
13047,Georgia,Catoosa
13055,Georgia,Chattooga
13057,Georgia,Cherokee
13083,Georgia,Dade
13085,Georgia,Dawson
13097,Georgia,Douglas
13105,Georgia,Elbert
13111,Georgia,Fannin
13115,Georgia,Floyd
13117,Georgia,Forsyth
13119,Georgia,Franklin
13123,Georgia,Gilmer
13129,Georgia,Gordon
13135,Georgia,Gwinnett
13137,Georgia,Habersham
13139,Georgia,Hall
13143,Georgia,Haralson
13147,Georgia,Hart
13149,Georgia,Heard
13157,Georgia,Jackson
13187,Georgia,Lumpkin
13195,Georgia,Madison
13213,Georgia,Murray
13223,Georgia,Paulding
13227,Georgia,Pickens
13233,Georgia,Polk
13241,Georgia,Rabun
13257,Georgia,Stephens
13281,Georgia,Towns
13291,Georgia,Union
13295,Georgia,Walker
13311,Georgia,White
13313,Georgia,Whitfield
21001,Kentucky,Adair
21011,Kentucky,Bath
21013,Kentucky,Bell
21019,Kentucky,Boyd
21025,Kentucky,Breathitt
21043,Kentucky,Carter
21045,Kentucky,Casey
21049,Kentucky,Clark
21051,Kentucky,Clay
21053,Kentucky,Clinton
21057,Kentucky,Cumberland
21061,Kentucky,Edmonson
21063,Kentucky,Elliott
21065,Kentucky,Estill
21069,Kentucky,Fleming
21071,Kentucky,Floyd
21079,Kentucky,Garrard
21087,Kentucky,Green
21089,Kentucky,Greenup
21095,Kentucky,Harlan
21099,Kentucky,Hart
21109,Kentucky,Jackson
21115,Kentucky,Johnson
21119,Kentucky,Knott
21121,Kentucky,Knox
21125,Kentucky,Laurel
21127,Kentucky,Lawrence
21129,Kentucky,Lee
21131,Kentucky,Leslie
21133,Kentucky,Letcher
21135,Kentucky,Lewis
21137,Kentucky,Lincoln
21147,Kentucky,McCreary
21151,Kentucky,Madison
21153,Kentucky,Magoffin
21159,Kentucky,Martin
21165,Kentucky,Menifee
21169,Kentucky,Metcalfe
21171,Kentucky,Monroe
21173,Kentucky,Montgomery
21175,Kentucky,Morgan
21181,Kentucky,Nicholas
21189,Kentucky,Owsley
21193,Kentucky,Perry
21195,Kentucky,Pike
21197,Kentucky,Powell
21199,Kentucky,Pulaski
21201,Kentucky,Robertson
21203,Kentucky,Rockcastle
21205,Kentucky,Rowan
21207,Kentucky,Russell
21231,Kentucky,Wayne
21235,Kentucky,Whitley
21237,Kentucky,Wolfe
24001,Maryland,Allegany
24023,Maryland,Garrett
24043,Maryland,Washington
28003,Mississippi,Alcorn
28009,Mississippi,Benton
28013,Mississippi,Calhoun
28017,Mississippi,Chickasaw
28019,Mississippi,Choctaw
28025,Mississippi,Clay
28057,Mississippi,Itawamba
28069,Mississippi,Kemper
28081,Mississippi,Lee
28087,Mississippi,Lowndes
28093,Mississippi,Marshall
28095,Mississippi,Monroe
28097,Mississippi,Montgomery
28103,Mississippi,Noxubee
28105,Mississippi,Oktibbeha
28107,Mississippi,Panola
28115,Mississippi,Pontotoc
28117,Mississippi,Prentiss
28139,Mississippi,Tippah
28141,Mississippi,Tishomingo
28145,Mississippi,Union
28155,Mississippi,Webster
28159,Mississippi,Winston
28161,Mississippi,Yalobusha
36003,New York,Allegany
36007,New York,Broome
36009,New York,Cattaraugus
36013,New York,Chautauqua
36015,New York,Chemung
36017,New York,Chenango
36023,New York,Cortland
36025,New York,Delaware
36077,New York,Otsego
36095,New York,Schoharie
36097,New York,Schuyler
36101,New York,Steuben
36107,New York,Tioga
36109,New York,Tompkins
37003,North Carolina,Alexander
37005,North Carolina,Alleghany
37009,North Carolina,Ashe
37011,North Carolina,Avery
37021,North Carolina,Buncombe
37023,North Carolina,Burke
37027,North Carolina,Caldwell
37035,North Carolina,Catawba
37039,North Carolina,Cherokee
37043,North Carolina,Clay
37045,North Carolina,Cleveland
37059,North Carolina,Davie
37067,North Carolina,Forsyth
37075,North Carolina,Graham
37087,North Carolina,Haywood
37089,North Carolina,Henderson
37099,North Carolina,Jackson
37111,North Carolina,McDowell
37113,North Carolina,Macon
37115,North Carolina,Madison
37121,North Carolina,Mitchell
37149,North Carolina,Polk
37161,North Carolina,Rutherford
37169,North Carolina,Stokes
37171,North Carolina,Surry
37173,North Carolina,Swain
